mpi,mK,meta,fphi,mN,mL,mS,mX
219.9443760715732, 507.6051656074879, 560.4983597789378, 108.97131651338425, 1008.2877451235491,1146.6572013458808,1215.5132253957984,1319.3578967406397
220.9443760715732, 507.8565039489972, 560.6707246180625, 108.99863583718549, 1009.1114744148073,1147.3179666605497,1216.112690367735,1319.82516156652
221.9443760715732, 508.1089599727718, 560.8440590066292, 109.02595835601043, 1009.937813853378,1147.9808880151388,1216.7140689179628,1320.294007687952
222.9443760715732, 508.3625328245684, 561.0183640323904, 109.05328339755356, 1010.7667601837652,1148.6459618992162,1217.3173578035987,1320.7644314750091
223.9443760715732, 508.6172216394685, 561.1936407666497, 109.08061029137207, 1011.5983101618182,1149.313184799132,1217.92255377679,1321.2364292790917
224.9443760715732, 508.8730255418731, 561.3698902641588, 109.10793836887997, 1012.4324605536804,1149.9825531973474,1218.5296535840325,1321.7099974326336
225.9443760715732, 509.1299436454998, 561.5471135630174, 109.13526696334263, 1013.2692081347526,1150.6540635717793,1219.1386539654964,1322.1851322488117
226.9443760715732, 509.3879750533782, 561.7253116845714, 109.16259540987153, 1014.108549688663,1151.3277123951402,1219.7495516543565,1322.6618300212597
227.9443760715732, 509.64711885784857, 561.9044856333153, 109.18992304541923, 1014.9504820062449,1152.0034961342917,1220.3623433761277,1323.1400870237808
228.9443760715732, 509.90737414055917, 562.0846363967955, 109.21724920877485, 1015.7950018845266,1152.6814112495986,1220.9770258480075,1323.619899510069
229.9443760715732, 510.16873997246495, 562.2657649455127, 109.24457324055943, 1016.6421061257272,1153.361454194295,1221.593595778228,1324.1012637134277
230.9443760715732, 510.4312154138278, 562.4478722328289, 109.27189448322194, 1017.491791536263,1154.043621413848,1222.2120498654044,1324.5841758464935
231.9443760715732, 510.69479951421545, 562.630959194873, 109.29921228103517, 1018.3440549257613,1154.7279093453358,1222.832384797899,1325.068632100964
232.9443760715732, 510.95949131250376, 562.8150267504491, 109.32652598009228, 1019.1988931060869,1155.4143144168245,1223.4545972531887,1325.5546286473268
233.9443760715732, 511.2252898368768, 563.0000758009459, 109.35383492830317, 1020.056302890371,1156.1028330467557,1224.0786838972317,1326.0421616345907
234.9443760715732, 511.4921941048301, 563.186107230248, 109.38113847539132, 1020.9162810920541,1156.7934616433367,1224.7046413838511,1326.5312271900198
235.9443760715732, 511.760203123173, 563.3731219046476, 109.4084359728909, 1021.7788245239369,1157.4861966039377,1225.3324663541157,1327.0218214188744
236.9443760715732, 512.0293158880321, 563.5611206727579, 109.43572677414393, 1022.6439299972392,1158.1810343144953,1225.962155435729,1327.513940404147
237.9443760715732, 512.2995313848561, 563.7501043654286, 109.46301023429778, 1023.5115943206649,1158.8779711489196,1226.5937052424265,1328.0075802063072
238.9443760715732, 512.5708485884203, 563.9400737956618, 109.49028571030296, 1024.381814299482,1159.5770034685104,1227.2271123733763,1328.5027368630485
239.9443760715732, 512.8432664628319, 564.1310297585302, 109.51755256091087, 1025.2545867346046,1160.2781276213748,1227.8623734125842,1328.999406389034
240.9443760715732, 513.1167839615371, 564.3229730310959, 109.54481014667196, 1026.129908421688,1160.981339941854,1228.499484928309,1329.4975847756482
241.9443760715732, 513.3914000273271, 564.5159043723313, 109.57205782993412, 1027.0077761502323,1161.6866367499542,1229.1384434724787,1329.9972679907519
242.9443760715732, 513.6671135923468, 564.7098245230411, 109.59929497484114, 1027.8881867026896,1162.3940143507828,1229.7792455801155,1330.4984519784368
243.9443760715732, 513.9439235781026, 564.9047342057856, 109.62652094733134, 1028.7711368535872,1163.1034690339911,1230.4218877687667,1331.0011326587849
244.9443760715732, 514.2218288954708, 565.1006341248059, 109.65373511513666, 1029.6566233686547,1163.8149970732215,1231.0663665379366,1331.50530592763
245.9443760715732, 514.5008284447086, 565.2975249659504, 109.6809368477815, 1030.544643003958,1164.5285947255609,1231.7126783685312,1332.0109676563213
246.9443760715732, 514.7809211154637, 565.4954073966023, 109.70812551658223, 1031.435192505049,1165.2442582310011,1232.3608197223034,1332.5181136914907
247.9443760715732, 515.0621057867851, 565.694282065609, 109.73530049464644, 1032.3282686061145,1165.9619838119002,1233.0107870413053,1333.0267398548226
248.9443760715732, 515.3443813271356, 565.8941496032128, 109.76246115687265, 1033.223868029141,1166.6817676724545,1233.6625767473454,1333.5368419428235
249.9443760715732, 515.6277465944036, 566.095010620984, 109.78960687995009, 1034.1219874830833,1167.4036059981734,1234.3161852414535,1334.0484157265983
250.9443760715732, 515.9122004359162, 566.2968657117532, 109.81673704235853, 1035.0226236630444,1168.127494955359,1234.9716089033482,1334.5614569516251
251.9443760715732, 516.1977416884537, 566.4997154495477, 109.84385102436865, 1035.925773249462,1168.853430690593,1235.628844090912,1335.0759613375387
252.9443760715732, 516.4843691782628, 566.7035603895278, 109.87094820804207, 1036.8314329073032,1169.581409330229,1236.2878871396717,1335.5919245779075
253.9443760715732, 516.7720817210728, 566.9084010679248, 109.89802797723178, 1037.739599285269,1170.3114269798862,1236.948734362283,1336.1093423400216
254.9443760715732, 517.0608781221109, 567.1142380019813, 109.92508971758296, 1038.650269015004,1171.043479723955,1237.6113820480216,1336.6282102646776
255.9443760715732, 517.3507571761185, 567.3210716898919, 109.95213281653339, 1039.563438710319,1171.7775636251022,1238.2758264622798,1337.14852396597
256.9443760715732, 517.6417176673684, 567.5289026107461, 109.97915666331453, 1040.479104966417,1172.513674723783,1238.9420638460679,1337.670279031081
257.9443760715732, 517.9337583696831, 567.7377312244727, 110.00616064895239, 1041.39726435913,1173.251809037763,1239.6100904155217,1338.1934710200776
258.9443760715732, 518.2268780464525, 567.9475579717853, 110.03314416626877, 1042.3179134441627,1173.9919625616353,1240.2799023614143,1338.718095465705
259.9443760715732, 518.5210754506531, 568.1583832741296, 110.0601066098825, 1043.2410487563454,1174.734131266355,1240.9514958486757,1339.2441478731898
260.9443760715732, 518.8163493248682, 568.3702075336329, 110.08704737621075, 1044.166666808893,1175.4783110987667,1241.6248670159116,1339.7716237200377
261.9443760715732, 519.1126984013082, 568.5830311330534, 110.11396586347068, 1045.0947640926752,1176.2244979811485,1242.3000119749377,1340.3005184558428
262.9443760715732, 519.4101214018312, 568.7968544357329, 110.14086147168109, 1046.0253370754892,1176.972687810753,1242.9769268103091,1340.8308275020895
263.9443760715732, 519.7086170379653, 569.0116777855501, 110.16773360266409, 1046.9583822013471,1177.7228764593563,1243.6556075788594,1341.3625462519628
264.9443760715732, 520.0081840109306, 569.2275015068749, 110.19458166004699, 1047.8938958897659,1178.475059772813,1244.3360503092476,1341.8956700701629
265.9443760715732, 520.3088210116624, 569.444325904526, 110.22140504926442, 1048.831874535066,1179.2292335706147,1245.0182510015056,1342.4301942927138
266.9443760715732, 520.610526720835, 569.6621512637281, 110.24820317756028, 1049.7723145056805,1179.9853936454538,1245.7022056265916,1342.9661142267846
267.9443760715732, 520.9132998088859, 569.8809778500719, 110.27497545399008, 1050.7152121434685,1180.7435357627937,1246.3879101259515,1343.5034251505047
268.9443760715732, 521.2171389360404, 570.1008059094752, 110.30172128942318, 1051.6605637630396,1181.5036556604427,1247.0753604110832,1344.0421223127873
269.9443760715732, 521.5220427523382, 570.3216356681459, 110.32844009654518, 1052.6083656510807,1182.2657490481313,1247.7645523631058,1344.58220093315
270.9443760715732, 521.8280098976581, 570.5434673325451, 110.35513128986054, 1053.5586140656983,1183.0298116070983,1248.4554818323359,1345.1236562015433
271.9443760715732, 522.1350390017471, 570.7663010893554, 110.38179428569508, 1054.5113052357608,1183.7958389896792,1249.1481446378662,1345.666483278177
272.9443760715732, 522.4431286842454, 570.9901371054448, 110.40842850219867, 1055.4664353602518,1184.563826818899,1249.8425365671505,1346.2106772933516
273.9443760715732, 522.7522775547166, 571.2149755278396, 110.4350333593482, 1056.4240006076307,1185.3337706880734,1250.5386533755955,1346.7562333472902
274.9443760715732, 523.062484212675, 571.4408164836914, 110.46160827895012, 1057.3839971152001,1186.1056661604075,1251.2364907861515,1347.3031465099727
275.9443760715732, 523.3737472476166, 571.6676600802514, 110.48815268464375, 1058.3464209884828,1186.8795087686103,1251.936044488919,1347.8514118209773
276.9443760715732, 523.6860652390471, 571.8955064048433, 110.514666001904, 1059.3112683006002,1187.6552940145014,1252.6373101407464,1348.4010242893137
277.9443760715732, 523.9994367565147, 572.1243555248383, 110.54114765804472, 1060.2785350916658,1188.4330173686349,1253.3402833648452,1348.951978893272
278.9443760715732, 524.3138603596395, 572.3542074876331, 110.56759708222172, 1061.2482173681803,1189.212674269916,1254.0449597504,1349.5042705802598
279.9443760715732, 524.6293345981468, 572.5850623206261, 110.59401370543613, 1062.2203111024355,1189.9942601252335,1254.7513348521923,1350.0578942666557
280.9443760715732, 524.9458580118986, 572.8169200311997, 110.62039696053762, 1063.1948122319268,1190.7777703090871,1255.459404190221,1350.6128448376521
281.9443760715732, 525.2634291309275, 573.0497806067, 110.64674628222788, 1064.1717166587696,1191.563200163228,1256.169163249334,1351.1691171471111
282.9443760715732, 525.5820464754695, 573.2836440144204, 110.67306110706407, 1065.1510202491265,1192.3505449962968,1256.88060747886,1351.7267060174127
283.9443760715732, 525.9017085559992, 573.5185102015871, 110.69934087346223, 1066.1327188326386,1193.1398000834704,1257.5937322922473,1352.2856062393143
284.9443760715732, 526.2224138732644, 573.754379095344, 110.72558502170092, 1067.1168082018648,1193.9309606661134,1258.3085330667093,1352.845812571809
285.9443760715732, 526.5441609183209, 573.9912506027409, 110.75179299392492, 1068.1032841117292,1194.72402195143,1259.0250051428684,1353.407319741979
286.9443760715732, 526.8669481725698, 574.2291246107234, 110.7779642341488, 1069.0921422789722,1195.5189791121268,1259.7431438244118,1353.9701224448663
287.9443760715732, 527.1907741077933, 574.468000986123, 110.8040981882606, 1070.0833783816129,1196.3158272860733,1260.4629443777476,1354.5342153433317
288.9443760715732, 527.5156371861925, 574.7078795756497, 110.83019430402582, 1071.076988058412,1197.114561575972,1261.1844020316644,1355.0995930679205
289.9443760715732, 527.8415358604246, 574.9487602058867, 110.85625203109105, 1072.072966908351,1197.9151770490312,1261.907511977001,1355.6662502167362
290.9443760715732, 528.1684685736416, 575.1906426832848, 110.88227082098786, 1073.0713104901058,1198.7176687366389,1262.6322693663137,1356.2341813553048
291.9443760715732, 528.49643375953, 575.4335267941606, 110.90825012713685, 1074.0720143215383,1199.5220316340499,1263.3586693135567,1356.8033810164548
292.9443760715732, 528.8254298423489, 575.6774123046944, 110.93418940485145, 1075.0750738791871,1200.3282607000651,1264.0867068937546,1357.3738437001853
293.9443760715732, 529.1554552369713, 575.9222989609309, 110.96008811134193, 1076.0804845977689,1201.1363508567251,1264.8163771426925,1357.9455638735478
294.9443760715732, 529.4865083489244, 576.168186488781, 110.98594570571946, 1077.0882418696829,1201.9462969890042,1265.5476750566033,1358.5185359705256
295.9443760715732, 529.818587574431, 576.4150745940244, 111.01176164900016, 1078.0983410445251,1202.7580939445081,1266.2805955918589,1359.0927543919113
296.9443760715732, 530.1516913004507, 576.6629629623155, 111.03753540410916, 1079.1107774286081,1203.571736533176,1267.0151336646686,1359.6682135051951
297.9443760715732, 530.4858179047229, 576.9118512591891, 111.06326643588466, 1080.125546284484,1204.3872195269887,1267.7512841507819,1360.2449076444482
298.9443760715732, 530.8209657558092, 577.1617391300686, 111.08895421108214, 1081.142642830478,1205.2045376596786,1268.4890418851924,1360.8228311102084
299.9443760715732, 531.1571332131373, 577.4126262002749, 111.11459819837853, 1082.1620622402268,1206.023685626446,1269.228401661851,1361.401978169375
300.9443760715732, 531.4943186270445, 577.6645120750389, 111.14019786837628, 1083.1837996422219,1206.8446580836762,1269.9693582333762,1361.9823430550969
301.9443760715732, 531.8325203388222, 577.9173963395119, 111.16575269360764, 1084.2078501193591,1207.667449648665,1270.711906310777,1362.5639199666668
302.9443760715732, 532.1717366807611, 578.1712785587818, 111.19126214853884, 1085.2342087084971,1208.492054899345,1271.4560405631742,1363.1467030694182
303.9443760715732, 532.5119659761968, 578.4261582778863, 111.21672570957439, 1086.262870400019,1209.3184683740162,1272.2017556175274,1363.7306864946236
304.9443760715732, 532.8532065395557, 578.682035021833, 111.24214285506115, 1087.2938301373993,1210.1466845710818,1272.9490460583643,1364.315864339392
305.9443760715732, 533.1954566764012, 578.9389082956145, 111.26751306529286, 1088.3270828167817,1210.976697948789,1273.697906427522,1364.9022306665772
306.9443760715732, 533.5387146834814, 579.1967775842315, 111.29283582251405, 1089.3626232865558,1211.8085029249683,1274.4483312238774,1365.489779504671
307.9443760715732, 533.8829788487762, 579.4556423527125, 111.31811061092462, 1090.4004463469469,1212.6420938767853,1275.2003149031002,1366.078504847722
308.9443760715732, 534.2282474515456, 579.7155020461378, 111.34333691668395, 1091.4405467496033,1213.4774651404864,1275.9538518773927,1366.6684006552323
309.9443760715732, 534.574518762378, 579.9763560896632, 111.36851422791521, 1092.4829191972,1214.3146110111584,1276.7089365152456,1367.259460852076
310.9443760715732, 534.9217910432394, 580.2382038885471, 111.39364203470966, 1093.5275583430368,1215.1535257424825,1277.4655631411906,1367.8516793284052
311.9443760715732, 535.2700625475229, 580.5010448281772, 111.41871982913086, 1094.5744587906515,1215.9942035465006,1278.2237260355635,1368.445049939567
312.9443760715732, 535.6193315200985, 580.7648782740997, 111.44374710521903, 1095.6236150934303,1216.8366385933768,1278.983419434262,1369.039566506018
313.9443760715732, 535.9695961973644, 581.0297035720499, 111.46872335899535, 1096.6750217542335,1217.6808250111726,1279.744637528518,1369.635222813243
314.9443760715732, 536.3208548072961, 581.2955200479839, 111.49364808846599, 1097.728673225016,1218.5267568856136,1280.507374464665,1370.2320126116733
315.9443760715732, 536.6731055695, 581.5623270081117, 111.5185207936267, 1098.784563906462,1219.374428259873,1281.2716243439138,1370.8299296166097
316.9443760715732, 537.0263466952636, 581.8301237389323, 111.54334097646688, 1099.84268814762,1220.2238331343458,1282.0373812221308,1371.4289675081432
317.9443760715732, 537.3805763876085, 582.0989095072703, 111.56810814097372, 1100.9030402455464,1221.0749654664387,1282.8046391096204,1372.0291199310846
318.9443760715732, 537.7357928413431, 582.3686835603128, 111.59282179313668, 1101.9656144449498,1221.927819170354,1283.5733919709114,1372.6303804948866
319.9443760715732, 538.091994243116, 582.6394451256486, 111.6174814409515, 1103.0304049378474,1222.782388116882,1284.343633724545,1373.232742773578
320.9443760715732, 538.4491787714686, 582.911193411309, 111.64208659442443, 1104.09740586322,1223.6386661331962,1285.1153582428688,1373.8362003056898
321.9443760715732, 538.8073445968906, 583.1839276058096, 111.66663676557648, 1105.1666113066753,1224.4966470026498,1285.8885593518344,1374.4407465941904
322.9443760715732, 539.1664898818731, 583.4576468781929, 111.69113146844757, 1106.2380153001172,1225.3563244645784,1286.6632308307946,1375.046375106418
323.9443760715732, 539.5266127809646, 583.732350378074, 111.71557021910051, 1107.3116118214182,1226.2176922141057,1287.4393664123124,1375.6530792740223
324.9443760715732, 539.8877114408257, 584.0080372356861, 111.73995253562538, 1108.3873947940965,1227.0807439019495,1288.2169597819643,1376.2608524928953
325.9443760715732, 540.249784000285, 584.2847065619279, 111.76427793814337, 1109.4653580870004,1227.9454731342353,1288.9960045781522,1376.8696881231135
326.9443760715732, 540.6128285903948, 584.5623574484124, 111.78854594881103, 1110.5454955139958,1228.8118734723103,1289.7764943919183,1377.4795794888837
327.9443760715732, 540.9768433344884, 584.840988967517, 111.81275609182426, 1111.6278008336599,1229.6799384325627,1290.5584227667628,1378.0905198784808
328.9443760715732, 541.3418263482362, 585.120600172435, 111.83690789342218, 1112.712267748976,1230.5496614862407,1291.3417831984648,1378.7025025441949
329.9443760715732, 541.7077757397035, 585.4011900972283, 111.86100088189136, 1113.7988899070397,1231.421036059279,1292.1265691349072,1379.3155207022796
330.9443760715732, 542.0746896094078, 585.6827577568821, 111.88503458756958, 1114.887660898763,1232.294055532127,1292.9127739759037,1379.9295675328992
