mϕ,mB
215.9443760715732,920.0661230306342
216.9443760715732,921.0152625248385
217.9443760715732,921.9678948559476
218.9443760715732,922.9240173678204
219.9443760715732,923.8836273490429
220.9443760715732,924.8467220320618
221.9443760715732,925.8132985923402
222.9443760715732,926.783354147537
223.9443760715732,927.7568857567105
224.9443760715732,928.7338904195452
225.9443760715732,929.7143650755996
226.9443760715732,930.6983066035785
227.9443760715732,931.6857118206256
228.9443760715732,932.6765774816373
229.9443760715732,933.6709002786004
230.9443760715732,934.6686768399468
231.9443760715732,935.6699037299308
232.9443760715732,936.6745774480264
233.9443760715732,937.6826944283447
234.9443760715732,938.6942510390686
235.9443760715732,939.7092435819081
236.9443760715732,940.7276682915755
237.9443760715732,941.7495213352753
238.9443760715732,942.7747988122156
239.9443760715732,943.8034967531355
240.9443760715732,944.8356111198495
241.9443760715732,945.8711378048101
242.9443760715732,946.9100726306855
243.9443760715732,947.9524113499551
244.9443760715732,948.9981496445196
245.9443760715732,950.0472831253285
246.9443760715732,951.0998073320204
247.9443760715732,952.1557177325818
248.9443760715732,953.2150097230165
249.9443760715732,954.277678627033
250.9443760715732,955.3437196957441
251.9443760715732,956.4131281073808
252.9443760715732,957.4858989653992
253.9443760715732,958.5620273045553
254.9443760715732,959.6415080813667
255.9443760715732,960.7243361799412
256.9443760715732,961.8105064102707
257.9443760715732,962.9000135080225
258.9443760715732,963.9928521343411
259.9443760715732,965.0890168756622
260.9443760715732,966.1885022435393
261.9443760715732,967.2913026744776
262.9443760715732,968.3974125297821
263.9443760715732,969.5068260954156
264.9443760715732,970.6195375818653
265.9443760715732,971.7355411240208
266.9443760715732,972.8548307810614
267.9443760715732,973.9774005363527
268.9443760715732,975.1032442973526
269.9443760715732,976.2323558955262
270.9443760715732,977.3647290862696
271.9443760715732,978.5003575488422
272.9443760715732,979.6392348863066
273.9443760715732,980.7813546254775
274.9443760715732,981.9267102168781
275.9443760715732,983.075295034704
276.9443760715732,984.2271023767946
277.9443760715732,985.3821254646108
278.9443760715732,986.5403574432219
279.9443760715732,987.7017913812967
280.9443760715732,988.8664202711026
281.9443760715732,990.0342370285106
282.9443760715732,991.2052344930067
283.9443760715732,992.3794054277096
284.9443760715732,993.5567425193927
285.9443760715732,994.7372383785133
286.9443760715732,995.9208855392467
287.9443760715732,997.1076764595241
288.9443760715732,998.2976035210784
289.9443760715732,999.4906590294934
290.9443760715732,1000.6868352142546
291.9443760715732,1001.886124228811
292.9443760715732,1003.0885181506355
293.9443760715732,1004.2940089812921
294.9443760715732,1005.5025886465064
295.9443760715732,1006.7142489962406
296.9443760715732,1007.9289818047711
297.9443760715732,1009.1467787707708
298.9443760715732,1010.3676315173941
299.9443760715732,1011.5915315923644
300.9443760715732,1012.8184704680668
301.9443760715732,1014.0484395416423
302.9443760715732,1015.281430135083
303.9443760715732,1016.517433495335
304.9443760715732,1017.7564407943986
305.9443760715732,1018.9984431294334
306.9443760715732,1020.2434315228659
307.9443760715732,1021.4913969224974
308.9443760715732,1022.7423302016168
309.9443760715732,1023.996222159112
310.9443760715732,1025.2530635195858
311.9443760715732,1026.5128449334711
312.9443760715732,1027.7755569771505
313.9443760715732,1029.041190153073
314.9443760715732,1030.309734889878
315.9443760715732,1031.5811815425138
316.9443760715732,1032.8555203923625
317.9443760715732,1034.1327416473628
318.9443760715732,1035.4128354421357
319.9443760715732,1036.6957918381088
320.9443760715732,1037.9816008236435
321.9443760715732,1039.2702523141604
322.9443760715732,1040.561736152268
323.9443760715732,1041.8560421078896
324.9443760715732,1043.1531598783897
325.9443760715732,1044.4530790887054
326.9443760715732,1045.7557892914715
327.9443760715732,1047.0612799671487
328.9443760715732,1048.3695405241554
329.9443760715732,1049.680560298991
330.9443760715732,1050.9943285563666
