mπ,mK,mη,fπ,fK,fη,fϕ,mN,mL,mS,mX
184.61669872,484.78030066,539.62714986,94.44238278,110.62456646,118.25637627,107.77444184,976.74933758,1112.19964691,1178.32402292,1280.62835257
185.61669872,484.64933924,539.40090407,94.50605769,110.63859987,118.24256028,107.79573928,977.38108291,1112.48638903,1178.44718354,1280.48874797
186.61669872,484.51753281,539.17319294,94.56985597,110.65260654,118.22864881,107.8170371,978.01498715,1112.77358316,1178.56988073,1280.34743184
187.61669872,484.38487913,538.94401173,94.63377635,110.66658564,118.21464149,107.83833449,978.65104642,1113.06122369,1178.69210836,1280.20439656
188.61669872,484.25137595,538.71335561,94.69781758,110.68053634,118.20053799,107.85963064,979.28925692,1113.34930505,1178.81386036,1280.05963453
189.61669872,484.11702099,538.48121974,94.7619784,110.69445783,118.18633793,107.88092472,979.92961492,1113.63782173,1178.9351307,1279.91313814
190.61669872,483.98181196,538.24759921,94.82625755,110.70834926,118.17204096,107.90221592,980.57211679,1113.92676822,1179.05591337,1279.7648998
191.61669872,483.84574656,538.01248908,94.89065377,110.72220982,118.15764671,107.92350344,981.21675894,1114.2161391,1179.17620242,1279.61491193
192.61669872,483.70882247,537.77588433,94.95516584,110.73603868,118.14315483,107.94478645,981.86353788,1114.50592897,1179.29599194,1279.46316696
193.61669872,483.57103735,537.53777993,95.01979248,110.74983499,118.12856492,107.96606413,982.51245017,1114.79613246,1179.41527602,1279.30965731
194.61669872,483.43238886,537.29817077,95.08453248,110.76359792,118.11387664,107.98733568,983.16349244,1115.08674425,1179.53404884,1279.15437544
195.61669872,483.29287462,537.05705172,95.14938459,110.77732665,118.0990896,108.00860028,983.81666141,1115.37775907,1179.65230458,1278.99731379
196.61669872,483.15249226,536.81441757,95.21434756,110.79102032,118.08420342,108.0298571,984.47195383,1115.66917167,1179.77003746,1278.83846483
197.61669872,483.01123938,536.57026309,95.27942019,110.80467811,118.06921774,108.05110534,985.12936656,1115.96097684,1179.88724174,1278.67782102
198.61669872,482.86911357,536.32458297,95.34460122,110.81829916,118.05413215,108.07234418,985.78889647,1116.25316942,1180.00391172,1278.51537483
199.61669872,482.72611238,536.07737187,95.40988945,110.83188264,118.03894628,108.09357279,986.45054054,1116.54574426,1180.12004172,1278.35111876
200.61669872,482.58223339,535.8286244,95.47528364,110.8454277,118.02365974,108.11479036,987.11429579,1116.83869627,1180.2356261,1278.18504527
201.61669872,482.43747412,535.5783351,95.54078258,110.85893349,118.00827215,108.13599607,987.7801593,1117.13202038,1180.35065924,1278.01714688
202.61669872,482.2918321,535.32649847,95.60638504,110.87239915,117.99278309,108.1571891,988.44812821,1117.42571155,1180.46513557,1277.84741609
203.61669872,482.14530483,535.07310895,95.67208982,110.88582385,117.97719219,108.17836862,989.11819971,1117.7197648,1180.57904952,1277.67584539
204.61669872,481.9978898,534.81816096,95.7378957,110.89920672,117.96149904,108.19953382,989.79037106,1118.01417513,1180.69239558,1277.5024273
205.61669872,481.84958447,534.56164881,95.80380147,110.91254691,117.94570323,108.22068387,990.46463956,1118.30893763,1180.80516825,1277.32715435
206.61669872,481.70038631,534.30356681,95.86980592,110.92584356,117.92980437,108.24181795,991.14100258,1118.60404738,1180.91736206,1277.15001906
207.61669872,481.55029275,534.04390918,95.93590785,110.9390958,117.91380204,108.26293523,991.81945753,1118.8994995,1181.02897156,1276.97101395
208.61669872,481.39930121,533.7826701,96.00210606,110.95230278,117.89769584,108.28403489,992.50000186,1119.19528914,1181.13999135,1276.79013156
209.61669872,481.24740909,533.51984369,96.06839935,110.96546362,117.88148535,108.3051161,993.18263309,1119.49141147,1181.25041603,1276.60736444
210.61669872,481.09461377,533.25542403,96.13478651,110.97857746,117.86517015,108.32617804,993.86734879,1119.78786171,1181.36024022,1276.42270513
211.61669872,480.94091263,532.98940513,96.20126636,110.99164342,117.84874982,108.34721987,994.55414655,1120.08463508,1181.46945859,1276.23614617
212.61669872,480.78630302,532.72178094,96.2678377,111.00466064,117.83222394,108.36824076,995.24302403,1120.38172684,1181.57806582,1276.04768012
213.61669872,480.63078226,532.45254536,96.33449933,111.01762823,117.81559209,108.38923988,995.93397893,1120.67913227,1181.68605659,1275.85729953
214.61669872,480.47434766,532.18169224,96.40125006,111.03054532,117.79885384,108.41021641,996.62700898,1120.97684668,1181.79342565,1275.66499697
215.61669872,480.31699654,531.90921536,96.46808872,111.04341102,117.78200875,108.4311695,997.32211197,1121.27486539,1181.90016771,1275.470765
216.61669872,480.15872616,531.63510844,96.53501411,111.05622445,117.76505639,108.45209832,998.01928572,1121.57318376,1182.00627756,1275.27459619
217.61669872,479.99953378,531.35936516,96.60202505,111.06898472,117.74799632,108.47300203,998.71852809,1121.87179716,1182.11174996,1275.0764831
218.61669872,479.83941664,531.08197912,96.66912035,111.08169094,117.73082809,108.49387979,999.41983698,1122.17070099,1182.21657971,1274.87641831
219.61669872,479.67837197,530.80294388,96.73629883,111.09434222,117.71355128,108.51473078,1000.12321032,1122.46989065,1182.32076163,1274.67439439
220.61669872,479.51639698,530.52225291,96.80355932,111.10693765,117.69616542,108.53555413,1000.8286461,1122.76936159,1182.42429055,1274.47040393
221.61669872,479.35348884,530.23989967,96.87090064,111.11947634,117.67867007,108.55634902,1001.53614231,1123.06910926,1182.52716133,1274.26443949
222.61669872,479.18964472,529.9558775,96.93832161,111.13195739,117.66106477,108.57711459,1002.24569699,1123.36912914,1182.62936881,1274.05649367
223.61669872,479.02486177,529.67017971,97.00582105,111.14437989,117.64334907,108.59785,1002.95730822,1123.6694167,1182.73090789,1273.84655904
224.61669872,478.85913712,529.38279957,97.07339779,111.15674293,117.62552251,108.61855441,1003.67097411,1123.96996747,1182.83177344,1273.63462819
225.61669872,478.69246787,529.09373023,97.14105066,111.1690456,117.60758461,108.63922696,1004.38669277,1124.27077695,1182.93196039,1273.4206937
226.61669872,478.52485112,528.80296483,97.2087785,111.18128698,117.58953492,108.6598668,1005.10446238,1124.5718407,1183.03146363,1273.20474817
227.61669872,478.35628393,528.51049642,97.27658012,111.19346615,117.57137297,108.68047308,1005.82428112,1124.87315427,1183.13027811,1272.98678417
228.61669872,478.18676336,528.21631798,97.34445435,111.20558219,117.55309827,108.70104494,1006.54614722,1125.17471322,1183.22839876,1272.7667943
